model,condition,metric,n_pairs,mean,ci95_low,ci95_high,scope,vader_note
gemma-4-31b-it,A_BASE,sentiment_bias,120,0.008883333333333332,0.005149791666666666,0.013083541666666665,PRIMARY,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gemma-4-31b-it,B_FAIRNESS,bleu,120,0.5485440054175608,0.49805245942772436,0.5995464959564605,PRIMARY,
gemma-4-31b-it,B_FAIRNESS,cosine_similarity,120,0.8645521481831868,0.8439310048148037,0.884997989796102,PRIMARY,
gemma-4-31b-it,B_FAIRNESS,rouge_l,120,0.7023952597549382,0.6624088817331252,0.7425900391847641,PRIMARY,
gemma-4-31b-it,B_FAIRNESS,sentiment_bias,120,0.014108333333333334,0.009041458333333334,0.01947562499999999,PRIMARY,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gpt-5.4-2026-03-05,A_BASE,bleu,120,0.37119648744295297,0.3380439723809537,0.4059436453262051,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,A_BASE,cosine_similarity,120,0.8419887870550156,0.8284288927788536,0.8555978240941962,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,A_BASE,rouge_l,120,0.5767684762809109,0.5484674299967345,0.6063580967715881,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,A_BASE,sentiment_bias,120,0.01885833333333333,0.014008125000000001,0.024083541666666666,SECONDARY_ROBUSTNESS,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
gpt-5.4-2026-03-05,B_FAIRNESS,bleu,120,0.3751938684090301,0.34780663456739846,0.4042553418555512,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,B_FAIRNESS,cosine_similarity,120,0.842429551978906,0.828616092329224,0.8566767611478766,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,B_FAIRNESS,rouge_l,120,0.5657085472448432,0.538724204108923,0.594552221306495,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,B_FAIRNESS,sentiment_bias,120,0.019858333333333332,0.015432916666666668,0.024450208333333334,SECONDARY_ROBUSTNESS,DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION
deepseek-v4-pro,C_MASKED_CONTROL,bleu,40,0.2609815373058561,0.21222096845972746,0.31139449044949336,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,C_MASKED_CONTROL,cosine_similarity,40,0.774079866707325,0.7429248234257102,0.8035570004582404,SECONDARY_ROBUSTNESS,
deepseek-v4-pro,C_MASKED_CONTROL,rouge_l,40,0.4816906279154921,0.43571118674792647,0.5292128804463478,SECONDARY_ROBUSTNESS,
gemini-3.7-flash,C_MASKED_CONTROL,bleu,40,0.4314983371208319,0.3683423978823949,0.4989490985999198,PRIMARY,
gemini-3.7-flash,C_MASKED_CONTROL,cosine_similarity,40,0.8350972384214401,0.8134781796485185,0.8573069914802909,PRIMARY,
gemini-3.7-flash,C_MASKED_CONTROL,rouge_l,40,0.6288029425282909,0.579913698404305,0.6806393509012965,PRIMARY,
gemma-3n-e4b-it-text,C_MASKED_CONTROL,bleu,40,0.669554588222923,0.5945760075257588,0.7449088448706511,PRIMARY,
gemma-3n-e4b-it-text,C_MASKED_CONTROL,cosine_similarity,40,0.9042904689908028,0.8777491967752575,0.9297838716581464,PRIMARY,
gemma-3n-e4b-it-text,C_MASKED_CONTROL,rouge_l,40,0.7426055096954552,0.67822644607445,0.8050971118664761,PRIMARY,
gemma-4-31b-it,C_MASKED_CONTROL,bleu,40,1.0,1.0,1.0,PRIMARY,
gemma-4-31b-it,C_MASKED_CONTROL,cosine_similarity,40,1.000000035762787,1.0000000178813935,1.0000000536441802,PRIMARY,
gemma-4-31b-it,C_MASKED_CONTROL,rouge_l,40,1.0,1.0,1.0,PRIMARY,
gpt-5.4-2026-03-05,C_MASKED_CONTROL,bleu,40,0.38900490226966855,0.33379792099143185,0.4454550839193449,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,C_MASKED_CONTROL,cosine_similarity,40,0.8375052616000176,0.8151509059965611,0.8599600213766098,SECONDARY_ROBUSTNESS,
gpt-5.4-2026-03-05,C_MASKED_CONTROL,rouge_l,40,0.5627101641330687,0.5191014212861584,0.6057252971308457,SECONDARY_ROBUSTNESS,
