claim_id,section,metric,value,unit,n,CI_low,CI_high,p,p_adjusted,effect_size,model,condition,run_id,source_file,source_sha256
P-17,PROTOCOLO,sha256_prompt_BASE_A_igual_C,fcb7eef04216515576d15819d0b4b30d698b58a2a08f7c034da25e8eae0ea2cb,sha256,,,,,,,,,,publication-repository/config/prompts/collection_agent_base_v2.txt,fcb7eef04216515576d15819d0b4b30d698b58a2a08f7c034da25e8eae0ea2cb
P-18,PROTOCOLO,sha256_prompt_FAIRNESS_B,32d96b30f3556851a5a1f1720e34bef2410dc5990d15a292db365c3da6794555,sha256,,,,,,,,,,publication-repository/config/prompts/collection_agent_fairness_v2.txt,32d96b30f3556851a5a1f1720e34bef2410dc5990d15a292db365c3da6794555
P-19,PROTOCOLO,sha256_rubrica_juez,7f9cf40a5a524fb000d66d5765203a477fd6a806c7f9107ef6cd54b21c0a6b96,sha256,,,,,,,,,,publication-repository/config/prompts/deepeval_judge_v3.txt,7f9cf40a5a524fb000d66d5765203a477fd6a806c7f9107ef6cd54b21c0a6b96
P-20,PROTOCOLO,revision_autoral,120,"decisiones (40x3, todas APPROVED)",,,,,,,,,,publication-repository/data/derived/scenarios_v3.csv,020f6b569d061b75d956325c2caec9eabf69c7ecc8e04f39a5a66c4b0ec9804b
M-FINAL_V4_GEMINI37-01,MODELOS,n_esperadas,560,tareas,560,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMINI37-02,MODELOS,n_generadas_intentos,560,intentos,560,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/runs/FINAL_V4_GEMINI37/generation_attempts.jsonl,
M-FINAL_V4_GEMINI37-03,MODELOS,n_qc_valid,560,tareas,560,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMINI37-04,MODELOS,n_qc_invalid,0,tareas,,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMINI37-05,MODELOS,valid_pair_rate,1.0,tasa,280,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMINI37-06,MODELOS,max_output_tokens,8192,tokens,,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMINI37-07,MODELOS,thinking_reasoning,medium,configuracion,,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMINI37-08,MODELOS,temperature,0.0,configuracion,,,,,,,gemini-3.7-flash,,FINAL_V4_GEMINI37,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA4-01,MODELOS,n_esperadas,560,tareas,560,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA4-02,MODELOS,n_generadas_intentos,560,intentos,560,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/runs/FINAL_V4_GEMMA4/generation_attempts.jsonl,
M-FINAL_V4_GEMMA4-03,MODELOS,n_qc_valid,560,tareas,560,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMMA4-04,MODELOS,n_qc_invalid,0,tareas,,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMMA4-05,MODELOS,valid_pair_rate,1.0,tasa,280,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMMA4-06,MODELOS,max_output_tokens,8192,tokens,,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA4-07,MODELOS,thinking_reasoning,high,configuracion,,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA4-08,MODELOS,temperature,0.0,configuracion,,,,,,,gemma-4-31b-it,,FINAL_V4_GEMMA4,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA3N_LOCAL-01,MODELOS,n_esperadas,560,tareas,560,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA3N_LOCAL-02,MODELOS,n_generadas_intentos,560,intentos,560,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/runs/FINAL_V4_GEMMA3N_LOCAL/generation_attempts.jsonl,
M-FINAL_V4_GEMMA3N_LOCAL-03,MODELOS,n_qc_valid,560,tareas,560,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMMA3N_LOCAL-04,MODELOS,n_qc_invalid,0,tareas,,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMMA3N_LOCAL-05,MODELOS,valid_pair_rate,1.0,tasa,280,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-FINAL_V4_GEMMA3N_LOCAL-06,MODELOS,max_output_tokens,2048,tokens,,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA3N_LOCAL-07,MODELOS,thinking_reasoning,n/a,configuracion,,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-FINAL_V4_GEMMA3N_LOCAL-08,MODELOS,temperature,0.0,configuracion,,,,,,,gemma-3n-e4b-it-text,,FINAL_V4_GEMMA3N_LOCAL,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_GPT54-01,MODELOS,n_esperadas,560,tareas,560,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_GPT54-02,MODELOS,n_generadas_intentos,560,intentos,560,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/runs/ROBUSTNESS_V4_GPT54/generation_attempts.jsonl,
M-ROBUSTNESS_V4_GPT54-03,MODELOS,n_qc_valid,560,tareas,560,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-ROBUSTNESS_V4_GPT54-04,MODELOS,n_qc_invalid,0,tareas,,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-ROBUSTNESS_V4_GPT54-05,MODELOS,valid_pair_rate,1.0,tasa,280,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-ROBUSTNESS_V4_GPT54-06,MODELOS,max_output_tokens,8192,tokens,,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_GPT54-07,MODELOS,thinking_reasoning,reasoning effort=none,configuracion,,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_GPT54-08,MODELOS,temperature,NOT_SENT,configuracion,,,,,,,gpt-5.4-2026-03-05,,ROBUSTNESS_V4_GPT54,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_DEEPSEEK-01,MODELOS,n_esperadas,560,tareas,560,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_DEEPSEEK-02,MODELOS,n_generadas_intentos,563,intentos,563,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/runs/ROBUSTNESS_V4_DEEPSEEK/generation_attempts.jsonl,
M-ROBUSTNESS_V4_DEEPSEEK-03,MODELOS,n_qc_valid,560,tareas,560,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-ROBUSTNESS_V4_DEEPSEEK-04,MODELOS,n_qc_invalid,0,tareas,,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-ROBUSTNESS_V4_DEEPSEEK-05,MODELOS,valid_pair_rate,1.0,tasa,280,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a309d904a1b5fd2867b3508b0bdfda99614b3d463c74789
M-ROBUSTNESS_V4_DEEPSEEK-06,MODELOS,max_output_tokens,8192,tokens,,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_DEEPSEEK-07,MODELOS,thinking_reasoning,thinking enabled + reasoning high,configuracion,,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
M-ROBUSTNESS_V4_DEEPSEEK-08,MODELOS,temperature,NOT_SENT,configuracion,,,,,,,deepseek-v4-pro,,ROBUSTNESS_V4_DEEPSEEK,publication-repository/config/confirmatory_experiment_v4_20260906.yaml,87bfbd97871d30c059a75ff3683ecc1d959a8d68aa398b5ea5f8ee21657349fc
L-001,LANGFAIR,bleu,0.27197833046575004,mean,120,0.24077259105926926,0.30609492883065487,,,,deepseek-v4-pro,A_BASE,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-002,LANGFAIR,cosine_similarity,0.7784640977780024,mean,120,0.762458333671093,0.7945531447107593,,,,deepseek-v4-pro,A_BASE,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-003,LANGFAIR,rouge_l,0.47627100409674955,mean,120,0.44778086504124487,0.5071501628242466,,,,deepseek-v4-pro,A_BASE,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-004,LANGFAIR (VADER: DESCRIPTIVE_ONLY_SPANISH_LIMITATION),sentiment_bias,0.021508333333333334,mean,120,0.015116458333333334,0.02837562499999999,,,,deepseek-v4-pro,A_BASE,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-005,LANGFAIR,bleu,0.2676168393286881,mean,120,0.23567229948330823,0.29996692690476345,,,,deepseek-v4-pro,B_FAIRNESS,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-006,LANGFAIR,cosine_similarity,0.7806070019801458,mean,120,0.7637172243495782,0.797220202498138,,,,deepseek-v4-pro,B_FAIRNESS,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-007,LANGFAIR,rouge_l,0.48074183070443666,mean,120,0.45296614979892935,0.5096637253764643,,,,deepseek-v4-pro,B_FAIRNESS,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-008,LANGFAIR (VADER: DESCRIPTIVE_ONLY_SPANISH_LIMITATION),sentiment_bias,0.018416666666666668,mean,120,0.013075000000000002,0.0243,,,,deepseek-v4-pro,B_FAIRNESS,ROBUSTNESS_V4_DEEPSEEK,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-009,LANGFAIR,bleu,0.3744241581281526,mean,120,0.34355517744173214,0.4046176723438353,,,,gemini-3.7-flash,A_BASE,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-010,LANGFAIR,cosine_similarity,0.8313415745894114,mean,120,0.8175053459530075,0.8442973136032621,,,,gemini-3.7-flash,A_BASE,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-011,LANGFAIR,rouge_l,0.5975734956418731,mean,120,0.5705548977155523,0.6236004701728203,,,,gemini-3.7-flash,A_BASE,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-012,LANGFAIR (VADER: DESCRIPTIVE_ONLY_SPANISH_LIMITATION),sentiment_bias,0.0068916666666666675,mean,120,0.003991458333333334,0.010291874999999997,,,,gemini-3.7-flash,A_BASE,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-013,LANGFAIR,bleu,0.3950819331657401,mean,120,0.3651554832911084,0.4250937682380258,,,,gemini-3.7-flash,B_FAIRNESS,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-014,LANGFAIR,cosine_similarity,0.8330975328882535,mean,120,0.8200857916971047,0.8460112585872411,,,,gemini-3.7-flash,B_FAIRNESS,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-015,LANGFAIR,rouge_l,0.6159150503638063,mean,120,0.5911610482042399,0.6406741325175933,,,,gemini-3.7-flash,B_FAIRNESS,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-016,LANGFAIR (VADER: DESCRIPTIVE_ONLY_SPANISH_LIMITATION),sentiment_bias,0.00495,mean,120,0.0026500000000000004,0.007716874999999998,,,,gemini-3.7-flash,B_FAIRNESS,FINAL_V4_GEMINI37,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-017,LANGFAIR,bleu,0.4723872801256003,mean,120,0.4213822684356002,0.5289785788294485,,,,gemma-3n-e4b-it-text,A_BASE,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-018,LANGFAIR,cosine_similarity,0.8385019212961197,mean,120,0.8190255887930592,0.8590126205484072,,,,gemma-3n-e4b-it-text,A_BASE,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-019,LANGFAIR,rouge_l,0.5878889609810154,mean,120,0.5437098958837097,0.6370098631788268,,,,gemma-3n-e4b-it-text,A_BASE,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-020,LANGFAIR (VADER: DESCRIPTIVE_ONLY_SPANISH_LIMITATION),sentiment_bias,0.010166666666666668,mean,120,0.007333333333333333,0.013166874999999996,,,,gemma-3n-e4b-it-text,A_BASE,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-021,LANGFAIR,bleu,0.478504470204985,mean,120,0.42958851489319133,0.5293875764512178,,,,gemma-3n-e4b-it-text,B_FAIRNESS,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-022,LANGFAIR,cosine_similarity,0.8467518990238507,mean,120,0.8287905544166763,0.8644174908970793,,,,gemma-3n-e4b-it-text,B_FAIRNESS,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-023,LANGFAIR,rouge_l,0.6055957933685,mean,120,0.5643144667094289,0.6494564002422631,,,,gemma-3n-e4b-it-text,B_FAIRNESS,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-024,LANGFAIR (VADER: DESCRIPTIVE_ONLY_SPANISH_LIMITATION),sentiment_bias,0.012841666666666666,mean,120,0.009374583333333334,0.01661666666666667,,,,gemma-3n-e4b-it-text,B_FAIRNESS,FINAL_V4_GEMMA3N_LOCAL,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-025,LANGFAIR,bleu,0.5461878777419021,mean,120,0.4982891301680615,0.5955741085473157,,,,gemma-4-31b-it,A_BASE,FINAL_V4_GEMMA4,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
L-026,LANGFAIR,cosine_similarity,0.8669994314511617,mean,120,0.8486167948568861,0.8853614806383847,,,,gemma-4-31b-it,A_BASE,FINAL_V4_GEMMA4,publication-repository/results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a
