path,description,source_original,source_sha256,public_sha256,classification,license,reason
config/smoke_deepeval_v4_20260906.yaml,Frozen judge smoke configuration V4,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/config/smoke_deepeval_v4_20260906.yaml,8c3ed641063e620b654312897ec1d50fadd2ae1f52115be8179ad0d0aa4498f8,8c3ed641063e620b654312897ec1d50fadd2ae1f52115be8179ad0d0aa4498f8,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
config/final_model_run_map_v4_20260906.json,Model to run_id map (PRIMARY + SECONDARY_ROBUSTNESS),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/config/final_model_run_map_v4_20260906.json,751921b1947323105936d2bb1f37ee0606a115839ea719349aa367a672e5e8b4,751921b1947323105936d2bb1f37ee0606a115839ea719349aa367a672e5e8b4,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
config/v4_scheduler_runtime_20260906.json,"Operational scheduler runtime (non-scientific, byte-identical config note)",MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/config/v4_scheduler_runtime_20260906.json,7fc76c922501a5bb7a26f6d0d0d8fb1aa3dd73c6b74fb23da244fa3183ad3d0c,7fc76c922501a5bb7a26f6d0d0d8fb1aa3dd73c6b74fb23da244fa3183ad3d0c,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
results/02_FINAL_NUMBERS.csv,All citable numbers (355 rows); claim_id to source_file/source_sha256,MANUSCRIPT_FINAL_HANDOFF_20260907/02_FINAL_NUMBERS.csv,fcc1ea277a50b6f824c8017651ffce12c875373f8ae808f75e02aa0dda821ace,fcc1ea277a50b6f824c8017651ffce12c875373f8ae808f75e02aa0dda821ace,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/03_FINAL_HUMAN_RESULTS.csv,"Human validation V2 aggregated results (177 rows, no evaluator identifiers)",MANUSCRIPT_FINAL_HANDOFF_20260907/03_FINAL_HUMAN_RESULTS.csv,8b3afd931b94939120e923007e6f902db2bc7307ba84ff6fe9076550c6220a70,8b3afd931b94939120e923007e6f902db2bc7307ba84ff6fe9076550c6220a70,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/04_FINAL_STATISTICAL_RESULTS.csv,"Predeclared V4 statistics (155 rows, all COMPUTED, none significant after Holm)",MANUSCRIPT_FINAL_HANDOFF_20260907/04_FINAL_STATISTICAL_RESULTS.csv,f1a182ca2b5c3428919bdae693cfa0a03d5449f8d072c411eef716758a5abc82,f1a182ca2b5c3428919bdae693cfa0a03d5449f8d072c411eef716758a5abc82,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/05_FINAL_LANGFAIR_RESULTS.csv,LangFair descriptive results (55 rows; VADER sentiment descriptive-only),MANUSCRIPT_FINAL_HANDOFF_20260907/05_FINAL_LANGFAIR_RESULTS.csv,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a,f82c8aefb78d39da21d660ec115ac855ed6c85f0321c71d337cb89f029fc922a,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/06_FINAL_JUDGE_RESULTS.csv,"DeepEval judge per-response scores (2400 rows) with rubric justification; verified materialization of ledger (not recomputed, OI-15)",MANUSCRIPT_FINAL_HANDOFF_20260907/06_FINAL_JUDGE_RESULTS.csv,c03f68274c437fe91b31a86584e436467a4efa19c9009ef09c0864532c5efbd5,c03f68274c437fe91b31a86584e436467a4efa19c9009ef09c0864532c5efbd5,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/06_FINAL_JUDGE_COST_REPORT.csv,Judge cost and token report (USD 7.132306; 1 290 377/379 296/104 576 tokens),MANUSCRIPT_FINAL_HANDOFF_20260907/06_FINAL_JUDGE_COST_REPORT.csv,e3f7ee05d3510a899a9e64f51c73e881c232de194912c6dd471be9575ac4a6d1,e3f7ee05d3510a899a9e64f51c73e881c232de194912c6dd471be9575ac4a6d1,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/07_FINAL_TABLES.md,"Final tables, formulas and metric definitions",MANUSCRIPT_FINAL_HANDOFF_20260907/07_FINAL_TABLES.md,6ce75511bf1c404b0b5a0b67228a94c085a6b944b920c8b3cc886333af67f547,6ce75511bf1c404b0b5a0b67228a94c085a6b944b920c8b3cc886333af67f547,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/08_FINAL_FIGURES.md,Figures 1-4 description and SHA-256 (verified equal to shipped PNGs),MANUSCRIPT_FINAL_HANDOFF_20260907/08_FINAL_FIGURES.md,cbd66dc25cd052a34f20cf2cf831cc66899ed815b3ce2ea8e86947624e57e947,cbd66dc25cd052a34f20cf2cf831cc66899ed815b3ce2ea8e86947624e57e947,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/FINAL_V4_RESULTS.csv,Composite frozen V4 results (statistics + LangFair + judge evidence),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/FINAL_V4_RESULTS.csv,76d3d874e469487b64ba60ed9f772aee99207345ed2429f71a5679db88d34e0e,76d3d874e469487b64ba60ed9f772aee99207345ed2429f71a5679db88d34e0e,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/FINAL_V4_RESULTS.md,Frozen V4 results summary markdown,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/FINAL_V4_RESULTS.md,95804ae41cf79c981a922f3191095af270194140238ae4fde7289bcebec8e1ad,95804ae41cf79c981a922f3191095af270194140238ae4fde7289bcebec8e1ad,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/ROBUSTNESS_GPT_DEEPSEEK.csv,Robustness cohort evidence (GPT-5.4 and DeepSeek; secondary analysis),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/ROBUSTNESS_GPT_DEEPSEEK.csv,07a61424721fb2b1ee694914f98caee80ed25105bc85b93048163fc3a2e6061b,07a61424721fb2b1ee694914f98caee80ed25105bc85b93048163fc3a2e6061b,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/langfair_pairs.csv,"LangFair pair-level metric rows (A_BASE/B_FAIRNESS, per model)",MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/langfair_pairs.csv,8aaed3b425ed4428c3639f3b06436a409b42c2a005c983728856c511d5663e99,8aaed3b425ed4428c3639f3b06436a409b42c2a005c983728856c511d5663e99,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/langfair_masked_stability.csv,"Masked-control stability (600 rows, inputs_identical=True 600/600, 0 exposed)",MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/langfair_masked_stability.csv,62275410080688b9b4991a716110555e0c95409aa755e185ffc308f029cbcd70,62275410080688b9b4991a716110555e0c95409aa755e185ffc308f029cbcd70,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/V4_QC_SUMMARY.csv,QC eligibility summary per task (2800 eligible),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/V4_QC_SUMMARY.csv,45c11eaacd3b4103d3c9482a29e90e3508969f10d02a4a719b2c06e50eeb9cea,45c11eaacd3b4103d3c9482a29e90e3508969f10d02a4a719b2c06e50eeb9cea,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/V4_QC_TAXONOMY.json,QC taxonomy and gate results (VALID_FINAL_RESPONSE 2800; threshold 0.95 passed by all 5 cohorts),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/V4_QC_TAXONOMY.json,b4501da0f004fd20a3092d904a1b5fd2867b3508b0bdfda99614b3d463c74789,b4501da0f004fd20a3092d904a1b5fd2867b3508b0bdfda99614b3d463c74789,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/V4_DEEPEVAL_CALIBRATION.csv,Judge calibration rows,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/V4_DEEPEVAL_CALIBRATION.csv,aabaf4cd1e5fadb0de27ed3ddb0495de5d9497b982014cbf87a51bae48f7fa02,aabaf4cd1e5fadb0de27ed3ddb0495de5d9497b982014cbf87a51bae48f7fa02,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/V4_ARTICLE_NUMBERS_MAP.csv,Article numbers map (value to source_file),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/V4_ARTICLE_NUMBERS_MAP.csv,ff9f86749c6f36129daa52f3a1ac30d1c6c9ce4d3fa00881f7171fff547392fd,ff9f86749c6f36129daa52f3a1ac30d1c6c9ce4d3fa00881f7171fff547392fd,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/V4_TECHNICAL_LOG.csv,"Technical log, header only (empty by design; OI-06 documented in docs/14)",MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/V4_TECHNICAL_LOG.csv,4009c7f4163f403796d166cc90cccd7fca195bfead1b1c054b769c047f98841b,4009c7f4163f403796d166cc90cccd7fca195bfead1b1c054b769c047f98841b,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/v4_evidence/REVIEWER_NOTE_20260906_GENERO_ENMASCARAMIENTO.md,Reviewer note: first name (gender) is constant; only the surname varies,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/REVIEWER_NOTE_20260906_GENERO_ENMASCARAMIENTO.md,e3e4ef03e5d9a69a7006ad62bdf6e5009232149b84664329bc53b9ff3d72f9d2,e3e4ef03e5d9a69a7006ad62bdf6e5009232149b84664329bc53b9ff3d72f9d2,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/human_validation_v2/HUMAN_VALIDATION_V2_MANIFEST.json,"Human validation V2 manifest (90 items, seed 42, blinding list)",MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/human_validation_v2/HUMAN_VALIDATION_V2_MANIFEST.json,d10038db1af1e1a72f71517dd7df3105194ab2bc8c6a17052addce6e19999c7d,d10038db1af1e1a72f71517dd7df3105194ab2bc8c6a17052addce6e19999c7d,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/human_validation_v2/HUMAN_VALIDATION_V2_INTEGRITY.csv,Integrity gate 180/180 texts (source sha == delivered sha),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/human_validation_v2/HUMAN_VALIDATION_V2_INTEGRITY.csv,b7c84c64194b1a886fe02d71b38abb99ca807d7539f45eaaa9adfcead75fc1c4,b7c84c64194b1a886fe02d71b38abb99ca807d7539f45eaaa9adfcead75fc1c4,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
results/human_validation_v2/HUMAN_VALIDATION_V2_TRUNCATION_AUDIT.txt,Truncation audit output: NO_HAZARDS,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/human_validation_v2/HUMAN_VALIDATION_V2_TRUNCATION_AUDIT.txt,55fc8e13fc7c86b69939550f4598516a557cb12834630058affe13f055251739,55fc8e13fc7c86b69939550f4598516a557cb12834630058affe13f055251739,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
figures/fig1_langfair_ci_v4.png,Fig. 1 - LangFair 95% CIs by model and condition (cosine/ROUGE-L/BLEU/sentiment),MANUSCRIPT_FINAL_HANDOFF_20260907/figures/fig1_langfair_ci_v4.png,5a455d12f75d8c3e5f11d8f5978a2958a08d085f9d0a1540059eb85eb8b9a627,5a455d12f75d8c3e5f11d8f5978a2958a08d085f9d0a1540059eb85eb8b9a627,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
figures/fig2_qc_gate_v4.png,"Fig. 2 - QC gate by cohort (280/280 pairs, rate 1.0 vs threshold 0.95)",MANUSCRIPT_FINAL_HANDOFF_20260907/figures/fig2_qc_gate_v4.png,a46df4d24c3a7b51581bc030b10d5449408b9f2e4f5ffdf727f5b5a90b3df927,a46df4d24c3a7b51581bc030b10d5449408b9f2e4f5ffdf727f5b5a90b3df927,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
figures/fig3_masked_stability_v4.png,Fig. 3 - masked control stability between technical replicates,MANUSCRIPT_FINAL_HANDOFF_20260907/figures/fig3_masked_stability_v4.png,985c13dc0448620b0310d67227ef7ecde14d11c930948034fe1ed2e927afcafc,985c13dc0448620b0310d67227ef7ecde14d11c930948034fe1ed2e927afcafc,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
figures/fig4_robustness_langfair_v4.png,"Fig. 4 - LangFair descriptive for robustness cohorts (GPT-5.4, DeepSeek)",MANUSCRIPT_FINAL_HANDOFF_20260907/figures/fig4_robustness_langfair_v4.png,8b935200271d7596e5efe227910ed679093be0c46e9c1b710af7df486f42400d,8b935200271d7596e5efe227910ed679093be0c46e9c1b710af7df486f42400d,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/01_SOURCE_OF_TRUTH.md,Source of truth: authoritative sources and cohort hashes (machine path redacted),MANUSCRIPT_FINAL_HANDOFF_20260907/01_SOURCE_OF_TRUTH.md,0c16c6d0021b7a60edd603909270175c488bd9b97e02b7403ff0449d4d5cf5ee,97bdb247aaf31736b601b27ff1963e3eedef7bfd9ba3fd73a083e7eafad0801c,DERIVED_PUBLIC,CC-BY-4.0,Single documented redaction (see PUBLIC_REPO_SECURITY_AUDIT.md)
docs/09_CLAIM_CITATION_MATRIX.csv,"Claim-citation matrix (34 claims, support classification per IEEE audit)",MANUSCRIPT_FINAL_HANDOFF_20260907/09_CLAIM_CITATION_MATRIX.csv,d837ab6007086ef0a9ad41fb5f9d5a24a41ffd572994ebedd34519ae50530ba8,d837ab6007086ef0a9ad41fb5f9d5a24a41ffd572994ebedd34519ae50530ba8,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/10_REFERENCES_VERIFIED_IEEE.md,Verified IEEE references with DOI (machine path redacted),MANUSCRIPT_FINAL_HANDOFF_20260907/10_REFERENCES_VERIFIED_IEEE.md,3150c479db4d6705163f89d502f8860e4c6589df550de4edf5aca6e1ef8a394a,ad4fca08a0a8a843890e40d8dab45566de199bdbf174b66f7d380749d2c54078,DERIVED_PUBLIC,CC-BY-4.0,Single documented redaction (see PUBLIC_REPO_SECURITY_AUDIT.md)
docs/11_REFERENCES_VERIFIED.bib,BibTeX of verified references,MANUSCRIPT_FINAL_HANDOFF_20260907/11_REFERENCES_VERIFIED.bib,a98794b78787d96bff7df70a59e126dafb2508dad379ffc6990c74055f9608a9,a98794b78787d96bff7df70a59e126dafb2508dad379ffc6990c74055f9608a9,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/14_LIMITATIONS_AND_CLAIMS.md,"Limitations and claim rules (VADER, power, human agreement, ethics status)",MANUSCRIPT_FINAL_HANDOFF_20260907/14_LIMITATIONS_AND_CLAIMS.md,e4c50f9f9558c5daf544f26f5dc6f41c904ba8bbefd5cfcfefe1ce3f3033bb43,e4c50f9f9558c5daf544f26f5dc6f41c904ba8bbefd5cfcfefe1ce3f3033bb43,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/15_PUBLICATION_REPRODUCIBILITY_MAP.md,Artifact to SHA-256 reproducibility map used by the publication,MANUSCRIPT_FINAL_HANDOFF_20260907/15_PUBLICATION_REPRODUCIBILITY_MAP.md,aa3e09680780a2ebf6d18368431424c17de70375d36725c1b332af6c9b93c329,aa3e09680780a2ebf6d18368431424c17de70375d36725c1b332af6c9b93c329,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/ARTICLE_REFERENCE_CATALOG.csv,Reference catalog with DOIs and verification notes (third-party email redacted in R80),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/AUDITORIA_BIBLIOGRAFICA_20260907/ARTICLE_REFERENCE_CATALOG.csv,896d59ff60c60337a1ce6544c86251b1ab2a10cd6eaeb2c283cc6e4c1348fcb8,ee432a51587664a179d7f817c82438393c8537839ab0db4a0c6ebdf08450270b,DERIVED_PUBLIC,CC-BY-4.0,Single documented redaction (see PUBLIC_REPO_SECURITY_AUDIT.md)
docs/AUDITORIA_BIBLIOGRAFICA_20260907.md,Bibliographic audit report (machine path redacted),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/AUDITORIA_BIBLIOGRAFICA_20260907/AUDITORIA_BIBLIOGRAFICA_20260907.md,6c4a76d23c00c46d27d2a5a227e074b7835e7cec23a6c7918fc09053092107c4,817c2cc177ff5a1080ee7cacee0695638ffdcc99a804180fd1edd622cec14744,DERIVED_PUBLIC,CC-BY-4.0,Single documented redaction (see PUBLIC_REPO_SECURITY_AUDIT.md)
docs/CONTROL_C_DENOMINATOR_AUDIT.md,Denominator audit for the 0/80 and 600/600 condition-C claims,draft_uisrael_20260907/CONTROL_C_DENOMINATOR_AUDIT.md,a4c06010289b44eca272db20f3b3c533383544fbc1105730424d2c6e70df7210,a4c06010289b44eca272db20f3b3c533383544fbc1105730424d2c6e70df7210,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/MASTER_PUBLIC_PRIVATE_MAP.csv,Study authors' own public/private map (evidence of exclusions),MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/MANUSCRIPT_EVIDENCE_PACK_20260907/MASTER_PUBLIC_PRIVATE_MAP.csv,61b4f68787fb751376f8586525964894df8fc988dd3f4654134b679fb227c424,61b4f68787fb751376f8586525964894df8fc988dd3f4654134b679fb227c424,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/PROVENANCE_AUDIT_BORRADOR_20260907.md,Provenance audit of draft claims to files and hashes,draft_uisrael_20260907/PROVENANCE_AUDIT_BORRADOR_20260907.md,a0d50cb9a72e6f1046ccc8806810d8db06478d8fd30b651a8aca485df0bac956,a0d50cb9a72e6f1046ccc8806810d8db06478d8fd30b651a8aca485df0bac956,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/incidents/WAITING_FOR_CONNECTIVITY.json,Transient judge state file (recovered; 2400/2400 complete). Kept per OI-07 in docs/incidents/,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/WAITING_FOR_CONNECTIVITY.json,bb69b8d9f17a576bc87cbd71c693e274aafb61007fc2328f34b5dfe807e3da88,bb69b8d9f17a576bc87cbd71c693e274aafb61007fc2328f34b5dfe807e3da88,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
docs/JOURNAL_SUBMISSION_NOTE.md,Double-blind/anonymization and Zenodo archive checklist for future submission,-,-,b7225be8b259ac11d1d229dd7fa7f6fc7f87ac4d91a0bbb7aa2fd9b43002a06c,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
manifests/V4_RUN_MANIFEST.json,"V4 run manifest: protocol, clean-room exclusions, model runs, tooling hashes (machine path redacted)",MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/FINAL_CONFIRMATORY_V4_20260906/V4_RUN_MANIFEST.json,97c0fafdf5634c9feaf540a6abbd14962bd0f33743ac49905897852293aaf0fa,92ccb4a6c18571a5ce61f4e6d9c090ba2657c85ed27555dd468bc2434619c530,DERIVED_PUBLIC,CC-BY-4.0,Single documented redaction (see PUBLIC_REPO_SECURITY_AUDIT.md)
data/synthetic/README.md,Explains why scenario/provenance tables are not public; records their SHA-256,-,-,51113b0d37c378d822a1bb9eef64136494cb25806ff47292fa3e3a41564a4ae8,PUBLIC,CC-BY-4.0,Copied by explicit whitelist; byte-identical
src/README.md,Public script subset explanation; full run tooling recorded by hash only,-,-,6ad2c70e87c52a8951cc439186aad674dd6de2c2c6344f414bc79cd4b8994702,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
src/human_validation/build_sample_v2.py,Blinded 90-item paired sample builder (seed 42); private unmasking key is not public,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/human_validation_v2/build_sample_v2.py,8d4108160609c98dbaca699042e9f035fe5a46bd50b2522ca953d8d86056981f,8d4108160609c98dbaca699042e9f035fe5a46bd50b2522ca953d8d86056981f,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
src/human_validation/integrity_check_v2.py,Integrity gate 180/180 (sha source == sha delivered) and truncation audit,MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/human_validation_v2/integrity_check_v2.py,fe7530766c282c642dadae2dd3efd7e250b88bb1468c7deaa6d111c1347e7acb,fe7530766c282c642dadae2dd3efd7e250b88bb1468c7deaa6d111c1347e7acb,PUBLIC,MIT,Copied by explicit whitelist; byte-identical
publication-repository/MANUSCRIPT_FINAL_HANDOFF_20260907/SOURCE_DOCUMENT/IAA-GRUPO6-ART_V4_UISRAEL_PRE_FINAL.docx,UISRAEL institutional manuscript (DOCX),-,-,-,EXCLUDED_PRIVATE,-,Institutional manuscript material kept separate from the scientific reproducibility package (spec 19)
publication-repository/MANUSCRIPT_FINAL_HANDOFF_20260907/00_READ_ME_FIRST.md,Handoff internal instructions for manuscript writing,-,-,-,EXCLUDED_PRIVATE,-,Internal working instructions referencing manuscript workflow and blocked pushes
publication-repository/MANUSCRIPT_FINAL_HANDOFF_20260907/12_UISRAEL_FORMAT_RULES.md,Institutional UISRAEL/IEEE format rules,-,-,-,EXCLUDED_PRIVATE,-,Operative institutional formatting rules for the manuscript
publication-repository/MANUSCRIPT_FINAL_HANDOFF_20260907/13_ARTICLE_SECTION_MAP.md,Manuscript section map,-,-,-,EXCLUDED_PRIVATE,-,Internal manuscript structure
publication-repository/MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/MANUSCRIPT_EVIDENCE_PACK_20260907/MASTER_*,Manuscript-assembly master tables and reports (MASTER_NUMBERS and HUMAN_VALIDATION_V2_AGREEMENT duplicate results/02 and results/03),-,-,-,EXCLUDED_PRIVATE,-,"Manuscript assembly pack; scientific content already shipped via results/02-06, docs/09-11 and docs/MASTER_PUBLIC_PRIVATE_MAP.csv"
publication-repository/MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/AUDITORIA_BIBLIOGRAFICA_20260907/*.pdf,13 full third-party papers,-,-,-,EXCLUDED_COPYRIGHT,-,Third-party copyright; not redistributed; DOIs and metadata provided in docs/ARTICLE_REFERENCE_CATALOG.csv
"publication-repository/draft_uisrael_20260907/ (manuscript editing: *.py, _paragraph_map*, _audit_work/, *_PLAN.md, *_AUDIT.md, *_INDEX.md)",Draft-manuscript editing tools and audits,-,-,-,EXCLUDED_PRIVATE,-,Manuscript drafting work; PROVENANCE_AUDIT_BORRADOR and CONTROL_C_DENOMINATOR_AUDIT are included because they are scientific provenance
publication-repository/MANUSCRIPT_FINAL_HANDOFF_20260907/evidence/human_validation_v2/build_deploy_package_v2.py,Deployment script for the private hosting infrastructure,-,-,-,EXCLUDED_PRIVATE,-,Operational tooling tied to private Hostinger infrastructure and key.csv paths
"research/fairness-audit/human_validation_v2/server-private-v2/tokens.csv, key.csv, calificaciones.csv","Evaluator tokens (hex64 + names), unmasking map, raw ratings",-,-,-,EXCLUDED_PRIVATE,-,Personal data of evaluators; breaks blinding; no release authorization
.env / live API keys (GOOGLE/OPENAI/DEEPSEEK/LM Studio),Real credentials,-,-,-,EXCLUDED_SECURITY,-,Never published; shipped configs only reference environment variable names
research/fairness-audit/data/private/ + 718 institutional audios + Oracle/FitBank/SATJE/WhatsApp data,Institutional audio and client data,-,-,-,EXCLUDED_PRIVATE,-,Privacy and institutional agreements; all study scenarios are synthetic
