value,model,condition,metric,run_id,source_file,analysis_family,scope
"mean=0.6055957933685; ci95=[0.5643144667094289,0.6494564002422631]",gemma-3n-e4b-it-text,B_FAIRNESS,rouge_l,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.012841666666666666; ci95=[0.009374583333333334,0.01661666666666667]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gemma-3n-e4b-it-text,B_FAIRNESS,sentiment_bias,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.5461878777419021; ci95=[0.4982891301680615,0.5955741085473157]",gemma-4-31b-it,A_BASE,bleu,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.8669994314511617; ci95=[0.8486167948568861,0.8853614806383847]",gemma-4-31b-it,A_BASE,cosine_similarity,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.7042764735871759; ci95=[0.6655663561812533,0.7433626899862702]",gemma-4-31b-it,A_BASE,rouge_l,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.008883333333333332; ci95=[0.005149791666666666,0.013083541666666665]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gemma-4-31b-it,A_BASE,sentiment_bias,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.5485440054175608; ci95=[0.49805245942772436,0.5995464959564605]",gemma-4-31b-it,B_FAIRNESS,bleu,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.8645521481831868; ci95=[0.8439310048148037,0.884997989796102]",gemma-4-31b-it,B_FAIRNESS,cosine_similarity,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.7023952597549382; ci95=[0.6624088817331252,0.7425900391847641]",gemma-4-31b-it,B_FAIRNESS,rouge_l,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.014108333333333334; ci95=[0.009041458333333334,0.01947562499999999]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gemma-4-31b-it,B_FAIRNESS,sentiment_bias,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.37119648744295297; ci95=[0.3380439723809537,0.4059436453262051]",gpt-5.4-2026-03-05,A_BASE,bleu,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.8419887870550156; ci95=[0.8284288927788536,0.8555978240941962]",gpt-5.4-2026-03-05,A_BASE,cosine_similarity,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.5767684762809109; ci95=[0.5484674299967345,0.6063580967715881]",gpt-5.4-2026-03-05,A_BASE,rouge_l,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.01885833333333333; ci95=[0.014008125000000001,0.024083541666666666]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gpt-5.4-2026-03-05,A_BASE,sentiment_bias,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.3751938684090301; ci95=[0.34780663456739846,0.4042553418555512]",gpt-5.4-2026-03-05,B_FAIRNESS,bleu,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.842429551978906; ci95=[0.828616092329224,0.8566767611478766]",gpt-5.4-2026-03-05,B_FAIRNESS,cosine_similarity,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.5657085472448432; ci95=[0.538724204108923,0.594552221306495]",gpt-5.4-2026-03-05,B_FAIRNESS,rouge_l,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.019858333333333332; ci95=[0.015432916666666668,0.024450208333333334]; note=DESCRIPTIVE_ONLY_VADER_SPANISH_LIMITATION",gpt-5.4-2026-03-05,B_FAIRNESS,sentiment_bias,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.2609815373058561; ci95=[0.21222096845972746,0.31139449044949336]",deepseek-v4-pro,C_MASKED_CONTROL,bleu,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.774079866707325; ci95=[0.7429248234257102,0.8035570004582404]",deepseek-v4-pro,C_MASKED_CONTROL,cosine_similarity,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.4816906279154921; ci95=[0.43571118674792647,0.5292128804463478]",deepseek-v4-pro,C_MASKED_CONTROL,rouge_l,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.4314983371208319; ci95=[0.3683423978823949,0.4989490985999198]",gemini-3.7-flash,C_MASKED_CONTROL,bleu,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.8350972384214401; ci95=[0.8134781796485185,0.8573069914802909]",gemini-3.7-flash,C_MASKED_CONTROL,cosine_similarity,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.6288029425282909; ci95=[0.579913698404305,0.6806393509012965]",gemini-3.7-flash,C_MASKED_CONTROL,rouge_l,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.669554588222923; ci95=[0.5945760075257588,0.7449088448706511]",gemma-3n-e4b-it-text,C_MASKED_CONTROL,bleu,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.9042904689908028; ci95=[0.8777491967752575,0.9297838716581464]",gemma-3n-e4b-it-text,C_MASKED_CONTROL,cosine_similarity,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.7426055096954552; ci95=[0.67822644607445,0.8050971118664761]",gemma-3n-e4b-it-text,C_MASKED_CONTROL,rouge_l,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=1.0; ci95=[1.0,1.0]",gemma-4-31b-it,C_MASKED_CONTROL,bleu,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=1.000000035762787; ci95=[1.0000000178813935,1.0000000536441802]",gemma-4-31b-it,C_MASKED_CONTROL,cosine_similarity,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=1.0; ci95=[1.0,1.0]",gemma-4-31b-it,C_MASKED_CONTROL,rouge_l,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,PRIMARY
"mean=0.38900490226966855; ci95=[0.33379792099143185,0.4454550839193449]",gpt-5.4-2026-03-05,C_MASKED_CONTROL,bleu,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.8375052616000176; ci95=[0.8151509059965611,0.8599600213766098]",gpt-5.4-2026-03-05,C_MASKED_CONTROL,cosine_similarity,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean=0.5627101641330687; ci95=[0.5191014212861584,0.6057252971308457]",gpt-5.4-2026-03-05,C_MASKED_CONTROL,rouge_l,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_LANGFAIR_RESULTS.csv,LANGFAIR_DESCRIPTIVE,SECONDARY_ROBUSTNESS
"mean_delta=0.08333333333333333; ci95=[0.008333333333333335,0.16666666666666666]; p_perm=0.06309369063093691; p_wilcoxon=0.037812584955827684; p_holm=0.694030596940306; rb=0.6538461538461539; sig005=False",gemini-3.7-flash,A_BASE,severity,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.01666666666666667; ci95=[-0.075,0.10833333333333332]; p_perm=0.6924307569243076; p_wilcoxon=0.7066777846983747; p_holm=1.0; rb=0.08658008658008658; sig005=False",gemini-3.7-flash,A_BASE,empathy,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.0; ci95=[-0.08333333333333333,0.08333333333333333]; p_perm=1.0; p_wilcoxon=1.0; p_holm=1.0; rb=0.0; sig005=False",gemini-3.7-flash,B_FAIRNESS,severity,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=-0.03333333333333333; ci95=[-0.10833333333333332,0.041666666666666664]; p_perm=0.48775122487751227; p_wilcoxon=0.3767178060871801; p_holm=1.0; rb=-0.2878787878787879; sig005=False",gemini-3.7-flash,B_FAIRNESS,empathy,FINAL_V4_GEMINI37,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.075; ci95=[0.016666666666666666,0.13333333333333333]; p_perm=0.0170982901709829; p_wilcoxon=0.020874593888460854; p_holm=0.20517948205179481; rb=0.8222222222222222; sig005=False",gemma-4-31b-it,A_BASE,severity,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.025; ci95=[-0.04166666666666667,0.09999999999999999]; p_perm=0.6009399060093991; p_wilcoxon=0.49021408469758154; p_holm=1.0; rb=0.23636363636363636; sig005=False",gemma-4-31b-it,A_BASE,empathy,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=-0.06666666666666667; ci95=[-0.14166666666666666,0.008333333333333331]; p_perm=0.142985701429857; p_wilcoxon=0.08719706449021143; p_holm=1.0; rb=-0.5384615384615384; sig005=False",gemma-4-31b-it,B_FAIRNESS,severity,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.008333333333333337; ci95=[-0.08333333333333333,0.09166666666666667]; p_perm=0.7715228477152285; p_wilcoxon=0.776137910073506; p_holm=1.0; rb=0.08974358974358974; sig005=False",gemma-4-31b-it,B_FAIRNESS,empathy,FINAL_V4_GEMMA4,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=-0.08333333333333334; ci95=[-0.175,0.00020833333333030693]; p_perm=0.0664933506649335; p_wilcoxon=0.08353199512099489; p_holm=0.694030596940306; rb=-0.4327485380116959; sig005=False",gemma-3n-e4b-it-text,A_BASE,severity,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.075; ci95=[-0.04166666666666665,0.19166666666666665]; p_perm=0.25747425257474255; p_wilcoxon=0.26269848886244707; p_holm=1.0; rb=0.2536231884057971; sig005=False",gemma-3n-e4b-it-text,A_BASE,empathy,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.075; ci95=[-0.01666666666666667,0.16666666666666666]; p_perm=0.17078292170782922; p_wilcoxon=0.12463074707695519; p_holm=1.0; rb=0.37142857142857144; sig005=False",gemma-3n-e4b-it-text,B_FAIRNESS,severity,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=-0.05833333333333333; ci95=[-0.19999999999999998,0.08333333333333333]; p_perm=0.49005099490050996; p_wilcoxon=0.48901268823094557; p_holm=1.0; rb=-0.15384615384615385; sig005=False",gemma-3n-e4b-it-text,B_FAIRNESS,empathy,FINAL_V4_GEMMA3N_LOCAL,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,PRIMARY_JUDGE,PRIMARY
"mean_delta=0.025; ci95=[-0.04166666666666667,0.09166666666666666]; p_perm=0.5517448255174483; p_wilcoxon=0.46685427082272546; p_holm=1.0; rb=0.2; sig005=False",gpt-5.4-2026-03-05,A_BASE,severity,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
"mean_delta=-0.05; ci95=[-0.14166666666666666,0.04999999999999999]; p_perm=0.32156784321567844; p_wilcoxon=0.3198710446933244; p_holm=1.0; rb=-0.24736842105263157; sig005=False",gpt-5.4-2026-03-05,A_BASE,empathy,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
"mean_delta=0.0; ci95=[-0.049999999999999996,0.04166666666666667]; p_perm=1.0; p_wilcoxon=1.0; p_holm=1.0; rb=0.0; sig005=False",gpt-5.4-2026-03-05,B_FAIRNESS,severity,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
"mean_delta=-0.058333333333333334; ci95=[-0.15,0.025]; p_perm=0.195980401959804; p_wilcoxon=0.18329155041835987; p_holm=1.0; rb=-0.3142857142857143; sig005=False",gpt-5.4-2026-03-05,B_FAIRNESS,empathy,ROBUSTNESS_V4_GPT54,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
"mean_delta=-0.008333333333333333; ci95=[-0.08333333333333334,0.06666666666666668]; p_perm=0.873012698730127; p_wilcoxon=0.8540760609934533; p_holm=1.0; rb=-0.06060606060606061; sig005=False",deepseek-v4-pro,A_BASE,severity,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
"mean_delta=-0.03333333333333333; ci95=[-0.125,0.06666666666666667]; p_perm=0.5795420457954205; p_wilcoxon=0.54268041265922; p_holm=1.0; rb=-0.1383399209486166; sig005=False",deepseek-v4-pro,A_BASE,empathy,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
"mean_delta=-0.041666666666666664; ci95=[-0.13333333333333333,0.03333333333333333]; p_perm=0.46095390460953906; p_wilcoxon=0.4169593730509694; p_holm=1.0; rb=-0.28888888888888886; sig005=False",deepseek-v4-pro,B_FAIRNESS,severity,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
"mean_delta=0.01666666666666667; ci95=[-0.09166666666666666,0.11666666666666665]; p_perm=0.7410258974102589; p_wilcoxon=0.6509996295426622; p_holm=1.0; rb=0.10952380952380952; sig005=False",deepseek-v4-pro,B_FAIRNESS,empathy,ROBUSTNESS_V4_DEEPSEEK,results/FINAL_CONFIRMATORY_V4_20260906/V4_STATISTICAL_RESULTS.csv,SECONDARY_ROBUSTNESS_JUDGE,ROBUSTNESS
