claim_id,section,claim_text,current_cited_reference_ids,support_classification,verification_evidence_full_text,replacement_reference_ids,backup_reference_ids,evidence_strength,what_rejected_ref_supports,notes
C-23,2.6 Discusión,Sesgo de representación: grupos subrepresentados en corpus de entrenamiento → servicio de menor calidad,(sin cita),NO_SUPPORT,Definición sin cita en 0158.,R86 (Blodgett 2020),R54,GAP,—,Blodgett es el candidato aprobado para los encuadres de sesgo.
C-24,2.6 Discusión,Sesgo narrativo: los modelos optimizan coherencia sobre precisión fáctica,(sin cita),NO_SUPPORT,Definición sin cita en 0158.,R86 (Blodgett 2020); R85 (Mehrabi 2021),R54,GAP,—,—
C-25,2.6 Discusión,Impacto dispar: práctica aparentemente neutral genera desventaja sistemática para un grupo protegido,(sin cita),NO_SUPPORT,Definición sin cita en 0158.,R87 (Barocas & Selbst 2016),R35 (Grimmelmann & Westreich),GAP,—,Candidato aprobado SOLO para este fundamento de disparate impact/proxies (indicación del autor).
C-26,2.6 Discusión,La validez estructural (separación física motor de reglas / capa generativa) restringe al LLM a síntesis gramatical,(sin cita),NO_SUPPORT,El argumento de 0161 no cita fuentes de arquitecturas equivalentes.,R51; R30,R20,MEDIUM,—,R51/R30 documentan separación decisión/redacción en sistemas de cobranza (DSR).
C-27,2.6 Discusión,La mayoría de auditorías de sesgo se concentran en inglés y en EE. UU.,(sin cita),NO_SUPPORT,La afirmación de brecha geográfica/idiomática (0163) no cita fuentes.,R86 (Blodgett 2020); R84 (Vieira 2025),R01,GAP,—,Blodgett documenta el sesgo anglocéntrico de la literatura de sesgo en NLP.
C-28,2.5 / 2.6,"Impacto operativo: cobertura 40%→95%, reducción de provisiones, liberación de tiempo de gestores (70%→<20%)",(sin cita; proyección propia),—,Proyección del estudio; las cifras base son internas (por validar).,R51; R47; R40,R81; R83; R80; R05,MEDIUM (proyección),—,Respaldo: eficacia de canales/nudges en repago (R40 PNAS 13M; R47 Colombia; R80 recordatorios; R05 RCT). No presentar como evidencia directa de recuperación.
C-29,2.7 Conclusiones,Primer benchmark de equidad étnica en español para el SFPS andino,AFIRMACIÓN PROPIA,—,Contribución propia; verificable contra la literatura existente.,Verificación externa (R84/R86/R13 + búsqueda),,PROPIA,,Sostener solo si la búsqueda externa confirma la ausencia de equivalente.
C-30,2.9 Referencias,AUDITORÍA DE LA LISTA ACTUAL [1]–[14],[1]–[14],AUDITORÍA,Verificados PDF + Crossref: [1] R26 OK; [2] R82: revista = Sustainability (no “MDPI”); [3] R45 OK (2022); [4] R30: “dic. 2026”→ene. 2026; [5] R51: “dic. 2025”→jul. 2025; [6] R36 OK; [7] R20 OK; [8] R49 OK; [9] R57: revista = HSSC; [10] R25 OK (18912–18936); [11] R21: “may 2024”→jun. 2024; [12] R04 OK; [13] R58: revista = HSSC; [14] R33 OK.,,,AUDITORÍA,,NO renumerar todavía: la numeración IEEE final depende del orden de primera aparición al terminar la redacción.
C-31,FUTURO Q1/Q2,Acuerdo interevaluador humano (Krippendorff ordinal) en la validación humana,(sin cita),NO_SUPPORT,El análisis humano ya usa Krippendorff; no hay fuente del método en el corpus.,"EXTERNO-PENDIENTE: Kumar et al. 2025 (Nat. Mach. Intell. 8(2):173-185, 10.1038/s42256-025-01169-6); Marzi et al. 2024 (MethodsX 12:102545, 10.1016/j.mex.2023.102545)",,GAP,—,Obligatorio si el paper Q1/Q2 incluye la validación humana. Pendiente de autorización. Regla 2026-09-07: máx. 5-10 años y revistas Q1/Q2 (se descartó Hayes & Krippendorff 2007 por antigüedad).
C-32,FUTURO Q1/Q2,LLM-as-a-judge (severidad/empatía) como métrica de evaluación,(sin cita),NO_SUPPORT,"El corpus no contiene el paper del juez (R50 es survey agéntico, no LLM-as-judge).","V4[18] (Chen et al. LLM-as-a-Judge; ya en V4, NO duplicar)",,GAP,—,—
C-33,FUTURO Q1/Q2,Evaluación de sesgo en conversaciones multi-turno (futuras líneas),(sin cita),NO_SUPPORT,Línea futura sin cita; R19 cubre evaluación de agentes multi-turno.,R19 (ACM TIST 2026),EXTERNO: fairness en diálogo (Gallegos et al. 2024),MEDIUM,—,R19 sí está en el corpus.
