ref_id,classification,filename,authors,year,title,journal_or_conference,volume,issue,pages,doi,url,publisher,document_type,topic,relevance_to_current_article,claims_supported,primary_source_verified,doi_verified,ieee_reference,notes
R11,BACKGROUND,1-s2.0-S2666764923000401-main.pdf,Pahul Preet Singh; Fahim Islam Anik; Rahul Senapati; Arnav Sinha; Nazmus Sakib; Eklas Hossain,2024,Investigating customer churn in banking: a machine learning approach and visualization app for data science and management,Data Science and Management,7,,7-16,10.1016/j.dsm.2023.09.002,https://doi.org/10.1016/j.dsm.2023.09.002,KeAi/Elsevier,journal_article,"Churn bancario, ML",ML churn prediction on bank customers with an algorithm comparison; background on predictive ML analytics that banks run on customer data; no fairness or debt-collection content.,C-03 (apoyo débil),YES,YES,"P. P. Singh et al., “Investigating customer churn in banking: a machine learning approach and visualization app for data science and management,” Data Science and Management, vol. 7, no. 1, pp. 7–16, 2024, doi: 10.1016/j.dsm.2023.09.002.","Crossref metadata carries issue 1, which is not printed on the PDF cover header."
R12,BACKGROUND,131-574-1-PB.pdf,Chandra Lukita; Lalu Darmawan Bakti; Umi Rusilowati; Asep Sutarman; Untung Rahardja,2023,Predictive and Analytics using Data Mining and Machine Learning for Customer Churn Prediction,Journal of Applied Data Sciences,4,4,454-465,10.47738/jads.v4i4.131,https://doi.org/10.47738/jads.v4i4.131,Bright Publisher,journal_article,"Churn prediction, ML (revista de bajo impacto)","Benchmark of ML algorithms (XGBoost best) for customer churn prediction; only generic background on predictive retention analytics; no fairness, LLM or debt-collection focus.",C-03 (apoyo muy débil),YES,YES,"C. Lukita, L. D. Bakti, U. Rusilowati, A. Sutarman, and U. Rahardja, “Predictive and analytics using data mining and machine learning for customer churn prediction,” Journal of Applied Data Sciences, vol. 4, no. 4, pp. 454–465, Dec. 2023, doi: 10.47738/jads.v4i4.131.","Revista de bajo impacto; abstract inconsistente internamente (dice dataset bancario pero describe el dataset público de telecomunicaciones). Evitar para Q1/Q2. | Prior-inventory author field was garbage ('user'); real authors extracted from the PDF (Lukita et al., 5 authors). | Crossref registers only the first author (Lukita Chandra) - incomplete Crossref author metadata vs the 5 authors printed in the PDF. | The abstract says 'customer bank dataset' but the features it lists (MonthlyCharges, PaperlessBilling, SeniorCitizen, PhoneService, MultipleLines) match the public telecom churn dataset - internally inconsistent abstract."
R13,CORE,2008.04068v1.pdf,Runshan Fu; Yan Huang; Param Vir Singh,,"Crowds, Lending, Machine, and Bias",,,,,,https://arxiv.org/abs/2008.04068,INFORMS,preprint_arxiv,"Sesgo de ML en préstamos, debiasing, crowdsourcing","CORE: on Prosper.com data, an ML algorithm beats crowd investors at default prediction and shows bias by gender and race even without protected attributes as inputs; proposes a debiasing method - direct empirical evidence for fairness-audit claims about credit/lending ML, including bias without protected features and debias/accuracy trade-offs.",C-07; C-12; C-19; C-25; C-30,YES,YES (versión publicada ISR),"R. Fu, Y. Huang, and P. V. Singh, “Crowds, lending, machine, and bias,” Information Systems Research, vol. 32, no. 1, pp. 72–92, 2021, doi: 10.1287/isre.2020.0990.","El archivo del corpus es el preprint arXiv:2008.04068. VERSIÓN PUBLICADA: Information Systems Research 32(1):72–92 (2021), DOI 10.1287/isre.2020.0990 — citar SIEMPRE la versión publicada. Referencia CORE directa para sesgo algorítmico en crédito. Candidato nuevo para C-07 (empírico primario) — verificar que no esté duplicado en V4 [1]–[11]. | arXiv ID and submission date are NOT printed inside the PDF (pages 1-3 checked; no arXiv watermark) - 'arXiv:2008.04068v1' is known from the filename only. | No year is printed on pages 1-2. | Crossref bibliographic query found a published journal version of this preprint: DOI 10.1287/isre.2020.0990, Information Systems Research 32(1), 72-92 (2021), same title/authors - check the catalog for a duplicate ISR item; the arXiv v1 PDF itself prints no 'published in' note on pages 1-3."
R14,BACKGROUND,2107.09051v1.pdf,Longbing Cao,2021,"AI in Finance: Challenges, Techniques and Opportunities",,,,,10.1145/nnnnnnn.nnnnnnn (ACM placeholder as printed; NOT a real DOI),https://arxiv.org/abs/2107.09051,ACM,preprint_arxiv,"IA en finanzas, survey ACM CSUR","Dense survey/roadmap by Cao of AI techniques and challenges across finance (credit, lending, risk, fraud); background for claims about the breadth of AI/ML application in finance in which LLM-based credit and collection systems sit.",C-06 (contexto),YES,YES (10.1145/3502289),"L. Cao, “AI in finance: Challenges, techniques, and opportunities,” ACM Computing Surveys, vol. 55, no. 3, Art. no. 51, pp. 1–38, 2022, doi: 10.1145/3502289.","El PDF imprime DOI placeholder 10.1145/nnnnnnn.nnnnnnn (inválido). DOI real verificado en Crossref: 10.1145/3502289. | Printed DOI is the ACM placeholder 10.1145/nnnnnnn.nnnnnnn (invalid; appears twice in the PDF). | Real DOI located via Crossref bibliographic query and confirmed by a direct /works fetch: 10.1145/3502289 - AI in Finance: Challenges, Techniques, and Opportunities, ACM Computing Surveys 55(3):1-38 (2022), author Cao Longbing. | arXiv ID 2107.09051v1 is not printed inside the PDF (no arXiv watermark; known from the filename only). | Printed draft year 2021 ((c) 2021, 'June 2021' reference format) vs published year 2022; the published title adds an Oxford comma."
R15,BACKGROUND,2201.09221v1.pdf,Pengpeng Yue; Aslihan Gizem Korkmaz; Zhichao Yin; Haigang Zhou,2021,The rise of digital finance: Financial inclusion or debt trap?,Finance Research Letters,,,,10.1016/j.frl.2021.102604,https://doi.org/10.1016/j.frl.2021.102604,Elsevier,journal_article,"Finanzas digitales, inclusión, deuda","Empirical (CHFS household) evidence on digital credit widening access while increasing debt-trap/financial-distress risk; supports claims in a fairness-audit article that digital consumer credit can harm vulnerable households, motivating why fairness of credit/debt LLM systems matters.",C-08 (contexto deuda/inclusión),YES,YES,"P. Yue, A. G. Korkmaz, Z. Yin, and H. Zhou, “The rise of digital finance: Financial inclusion or debt trap?,” Finance Research Letters, vol. 47, Art. no. 102604, 2022, doi: 10.1016/j.frl.2021.102604.","PDF sin volumen/páginas (in-press); Crossref: vol. 47 (2022), artículo 102604. | Filename suggests an arXiv deposit (2201.09221v1) but the PDF is the Elsevier Finance Research Letters accepted-manuscript typeset with running head 'Finance Research Letters xxx (xxxx) xxx'; no arXiv header printed. | Header prints only in-press placeholders for volume/pages ('xxx (xxxx) xxx', no pages); Crossref assigns Vol. 47 (2022), article 102604, while the PDF prints 'Received 20 April 2020 ... Available online 30 December 2021' and copyright 2021. year_printed=2021 reflects the PDF; Crossref issued year is 2022."
R16,BACKGROUND,2204.10344v1.pdf,Magdalene Ng; Kovila P.L. Coopamootoo; Tasos Spiliotopoulos; Dave Horsfall; Mhairi Aitken; Ehsan Toreini; Karen Elliott; Aad van Moorsel,2021,"In `Private, Secure & Conversational' FinBots We Trust",,,,,,https://arxiv.org/abs/2204.10344,ACM (workshop CHI 2021),conference_proceedings,"FinBots, privacidad/seguridad/confianza en CUIs financieros","N=410 experimental study on trustworthy conversational financial-bot design (privacy/security dominate over conversational features); supports claims about user trust requirements, privacy expectations and human factors of LLM-based assistants in finance.",C-04 (apoyo débil),YES,NO,"M. Ng et al., “In ‘Private, Secure & Conversational’ FinBots we trust,” in Proc. CHI 2021 Workshop on Let’s Talk About CUIs, Yokohama, Japan, May 2021. [arXiv:2204.10344]","Paper de workshop (no revisado como artículo de revista; sin DOI). El DOI del inventario previo (10.1016/S0747-5632(00)00029-7) era una referencia interna de otro paper — descartado. | Prior-inventory DOI 10.1016/S0747-5632(00)00029-7 is WRONG: it appears in the PDF only as bibliography entry [3] (Burgoon et al., Computers in Human Behavior 16(6), 2000, 553-574, 'Interactivity in human-computer interaction'), confirmed via Crossref to be that 2000 paper, not this one. | arXiv ID (2204.10344) is NOT printed anywhere inside the 7-page PDF; it exists only in the filename. | Printed venue note on p.1: 'Proceedings of the CHI 2021 Workshop on Let's Talk About CUIs: Putting Conversational User Interface Design into Practice, May 8, 2021 in Yokohama, Japan.' | Crossref bibliographic title query returned no record for this paper; no real DOI exists to validate - identifier is the arXiv ID from the filename."
R17,BACKGROUND,2406.02630v2.pdf,Zehang Deng; Yongjian Guo; Changzhou Han; Wanlun Ma; Junwu Xiong; Sheng Wen; Yang Xiang,2024,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,,,,,,https://arxiv.org/abs/2406.02630,ACM,preprint_arxiv,"Seguridad de agentes de IA, survey","Survey of security challenges of AI/LLM agents (prompt injection, tool/memory/environment threats); background for claims about risks and failure modes of LLM agents deployed in high-stakes domains such as finance or collections.",C-06,YES,CANDIDATE_ONLY,"Z. Deng et al., “AI agents under threat: A survey of key security challenges and future pathways,” ACM Computing Surveys, vol. 57, no. 7, Art. no. 173, pp. 1–36, 2025, doi: 10.1145/3716628.","El archivo es el preprint arXiv:2406.02630v2. Versión publicada (candidata Crossref): ACM CSUR 57(7), DOI 10.1145/3716628 — confirmar página de inicio antes de citar. | Page 1 prints 'arXiv:2406.02630v2 [cs.CR] 6 Sep 2024'. | No 'Published in' note: this v2 snapshot is an ACM-format manuscript with placeholder DOI 'https://doi.org/XXXXXXX.XXXXXXX' and placeholder ACM journal data ('ACM XXXX-XXXX/2024/9-ART', '1, 1 (September 2024)') - no real DOI printed. | Crossref title query locates the later published version (candidate only, not printed in this PDF): DOI 10.1145/3716628, ACM Computing Surveys 57(7):1-36 (2025); the file itself is the arXiv preprint."
R18,BACKGROUND,2412.05731v1.pdf,Mengming Michael Dong; Theophanis C. Stratopoulos; Victor Xiaoqi Wang,2024,A Scoping Review of ChatGPT Research in Accounting and Finance,,,,,,https://arxiv.org/abs/2412.05731,Elsevier (versión publicada),preprint_arxiv,"ChatGPT en contabilidad/finanzas, scoping review","Scoping review of how ChatGPT/LLMs are used and studied in accounting and finance (audit, financial reporting, asset pricing, corporate finance); supports claims about the breadth of LLM adoption in financial work that a fairness-audit article situates itself in.",C-13 (apoyo débil),YES,CANDIDATE_ONLY,"M. M. Dong, T. C. Stratopoulos, and V. X. Wang, “A scoping review of ChatGPT research in accounting and finance,” International Journal of Accounting Information Systems, 2024, doi: 10.1016/j.accinf.2024.100715. [preprint arXiv:2412.05731]","Autores reales: Dong, Stratopoulos, Wang (el inventario previo decía “Xing” — incorrecto). El DOI del inventario previo (10.2139/ssrn.4376676) correspondía a otro paper (ESG). Versión publicada candidata: IJAIS 2024, DOI 10.1016/j.accinf.2024.100715. | Prior-inventory DOI 10.2139/ssrn.4376676 is a MISMATCH: it is printed in the PDF only inside the reference list for a different paper (Li, Peng & Yu 2023, 'ESG Considerations in Acquisitions and Divestitures: Corporate Responses to Mandatory ESG Disclosure'); Crossref confirms that DOI resolves to that ESG paper. | Prior-inventory author hint 'Xing' does not match the PDF; printed authors are Mengming Michael Dong, Theophanis C. Stratopoulos and Victor Xiaoqi Wang. | No arXiv ID and no own DOI are printed in the PDF (arXiv 2412.05731 appears only in the filename); page 1 prints 'July 2024'. | Crossref title query returns two same-title candidates, neither printed in the PDF: SSRN preprint 10.2139/ssrn.4680203 (2024) and published version 10.1016/j.accinf.2024.100715 (International Journal of Accounting Information Systems, 2024)."
R19,SUPPORTING,2503.22458v2.pdf,Shengyue Guan; Jindong Wang; Jiang Bian; Bin Zhu; Jian-guang Lou; Haoyi Xiong,2026,Evaluating LLM-based Agents for Multi-Turn Conversations: A Survey,,,,,,https://arxiv.org/abs/2503.22458,ACM,preprint_arxiv,"Agentes LLM multi-turno, evaluación conversacional","Survey of evaluation methods for LLM-based conversational agents (annotation, automated metrics, hybrid human/automatic, LLM self-judging; PRISMA-inspired, ~250 sources); supports claims about how conversational LLM systems are evaluated and where human vs automatic judgement is used.",C-13; C-34 (futuro: auditoría multi-turno),YES,CANDIDATE_ONLY,"S. Guan et al., “Evaluating LLM-based agents for multi-turn conversations: A survey,” ACM Transactions on Intelligent Systems and Technology, vol. 17, no. 4, pp. 1–40, 2026, doi: 10.1145/3793671.","El archivo es el preprint arXiv:2503.22458v2. El DOI del inventario previo (10.18653/v1/2024.findings-naacl.271) era una referencia interna (RecMind) — descartado. Versión publicada candidata: ACM TIST 17(4), DOI 10.1145/3793671. | Prior-inventory DOI 10.18653/v1/2024.findings-naacl.271 is a MISMATCH: it is printed in the PDF only as reference [227] (RecMind: Large Language Model Powered Agent For Recommendation, Findings of the ACL: NAACL 2024, pp. 4351-4364); Crossref confirms it resolves to that different paper. | Page 1 prints 'arXiv:2503.22458v2 [cs.CL] 5 Jan 2026'; body prints 'Manuscript submitted to ACM' with placeholder conference title ('Make sure to enter the correct conference title...') and placeholder DOI 'https://doi.org/XXXXXXX.XXXXXXX' - no real DOI printed; use the arXiv ID as identifier. | ACM Reference Format line says 2025 while the arXiv v2 stamp on p.1 is 5 Jan 2026 (year_printed=2026 from the arXiv stamp). | Crossref title query locates the published version (candidate only, not printed in this file): DOI 10.1145/3793671, ACM Transactions on Intelligent Systems and Technology 17(4):1-40 (2026)."
R20,BACKGROUND,2505.10468v5.pdf,Ranjan Sapkota; Konstantinos I. Roumeliotis; Manoj Karkee,2026,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",Information Fusion,126,,103599,10.1016/j.inffus.2025.103599,https://doi.org/10.1016/j.inffus.2025.103599,Elsevier,journal_article,"IA agéntica, taxonomía (ref [7] del manuscrito)","Conceptual taxonomy separating AI Agents from Agentic AI with application mapping and challenges (hallucination, brittleness, coordination failure); supports definitional/taxonomy claims about agentic systems and their evaluation in an LLM-application article.",C-13; C-27,YES,YES,"R. Sapkota, K. I. Roumeliotis, and M. Karkee, “AI agents vs. agentic AI: A conceptual taxonomy, applications and challenges,” Information Fusion, vol. 126, Art. no. 103599, 2026, doi: 10.1016/j.inffus.2025.103599.","En C-07 se clasificó NO_SUPPORT: asevera “bias propagation and amplification present a unique challenge” sin estudiarlo (regla de auditoría: refs agénticas no como evidencia de amplificación de sesgo). Uso válido: C-13/C-27. | Header prints 'Information Fusion 126 (2026) 103599' (volume-year 2026) while the copyright line and dates print 2025 ('Received 29 May 2025 ... Available online 22 August 2025') - normal for a 2025-online article in the 2026 volume; Crossref issued year is 2026. | Hint verified exactly: DOI 10.1016/j.inffus.2025.103599, Information Fusion vol. 126, article 103599, authors Sapkota/Roumeliotis/Karkee."
R21,BACKGROUND,3659625.pdf,Ziqi Yang; Xuhai Xu; Bingsheng Yao; Ethan Rogers; Shao Zhang; Stephen Intille; Nawar Shara; Guodong (Gordon) Gao; Dakuo Wang,2024,Talk2Care: An LLM-based Voice Assistant for Communication between Healthcare Providers and Older Adults,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol. (IMWUT),8,2,"Article 73, 35 pages",10.1145/3659625,https://doi.org/10.1145/3659625,ACM,journal_article,Asistente de voz con LLM (salud) — ref [11] del manuscrito,"Design and user studies of an LLM-powered voice assistant for asynchronous healthcare communication with older adults; supports background claims about LLM conversational agents interacting with vulnerable user groups and about interaction design, summarization and trust.",C-05,YES,YES,"Z. Yang et al., “Talk2Care: An LLM-based voice assistant for communication between healthcare providers and older adults,” Proc. ACM Interactive, Mobile, Wearable and Ubiquitous Technologies, vol. 8, no. 2, Art. no. 73, Jun. 2024, doi: 10.1145/3659625.","OJO: el manuscrito fecha [11] “may 2024”; el PDF y Crossref imprimen June 2024 (vol. 8, no. 2, Art. 73). Corregir el mes. En C-09 se clasificó NO_SUPPORT: sus menciones de sesgo son del ámbito clínico, no de negociación de cobranza. Uso válido: C-05 (asistentes de voz con LLM). | PDF prints 'Proc. ACM Interact. Mob. Wearable Ubiquitous Technol., Vol. 8, No. 2, Article 73. Publication date: June 2024' - matches Crossref (IMWUT 8(2):1-35, article 73, 2024, DOI 10.1145/3659625)."
R22,SUPPORTING,3688399.pdf,Frank Xing,2025,Designing Heterogeneous LLM Agents for Financial Sentiment Analysis,ACM Trans. Manag. Inform. Syst. (ACM Transactions on Management Information Systems),16,1,"Article 5, 24 pages",10.1145/3688399,https://doi.org/10.1145/3688399,ACM,journal_article,"Agentes LLM heterogéneos, análisis de sentimiento financiero",Design-science study of heterogeneous multi-LLM-agent deliberation for financial sentiment analysis (six FSA datasets); supports claims that multi-agent LLM designs are deployed in finance and how generative LLMs are used for financial classification tasks.,C-05,YES,YES,"F. Xing, “Designing heterogeneous LLM agents for financial sentiment analysis,” ACM Transactions on Management Information Systems, vol. 16, no. 1, Art. no. 5, Feb. 2025, doi: 10.1145/3688399.","Title was MISSING in the prior inventory; extracted from the PDF (single author, Frank Xing, National University of Singapore). | PDF citation line 'ACM Trans. Manag. Inform. Syst. 16, 1, Article 5 (February 2025), 24 pages' matches Crossref (16(1):1-24, 2025)."
R23,NEEDS_VERIFICATION,6188-Article Text-15025-1-10-20250202.pdf,Md. Sohel Rana; Anchala Chouksey; Saddam Hossain; Md Sumsuzoha; Proshanta Kumar Bhowmik; Miraz Hossain; Md Fazlay Rabby; Nisha Gurung; MD Abdul Fahim Zeeshan,2025,AI-Driven Predictive Modeling for Banking Customer Churn: Insights for the US Financial Sector,Journal of Ecohumanism,4,1,3478-3497,10.62754/joe.v4i1.6188,https://doi.org/10.62754/joe.v4i1.6188,Journal of Ecohumanism (Creative Publishing House),journal_article,"Churn bancario con IA, US","ML (Logistic Regression, Random Forest, XGBoost) churn-prediction study for US banks; only marginal relevance to automated customer treatment in banking/collections, and no fairness, LLM or debt-collection content.",,YES,YES,"M. S. Rana et al., “AI-driven predictive modeling for banking customer churn: Insights for the US financial sector,” Journal of Ecohumanism, vol. 4, no. 1, pp. 3478–3497, 2025, doi: 10.62754/joe.v4i1.6188.","REVISTA BAJO SOSPECHA: Journal of Ecohumanism aparece en discusiones de editoriales depredadoras. Verificar su indexación antes de citar. Para Q1/Q2: no usar sin confirmación. | Publisher as printed on every page: Journal of Ecohumanism, https://ecohumanism.co.uk/joe/ecohumanism, ISSN 2752-6798 (Print) / 2752-6801 (Online), pp. 3478-3497; DOI resolves in Crossref but Crossref carries no page range. | Journal of Ecohumanism has been flagged in predatory-journal discussions - record this concern and verify the venue's standing before citing. | Nine authors with broad US-university bylines; peer-review standard should be treated cautiously."
